"facility_id","property_id","value"
"park-011","contact","MBTA Customer Support"
"park-011","contact-url","http://www.parkmbta.com/"
"park-011","contact-phone","617-222-3200"
"park-011","address","35 Colbert St, West Roxbury, MA 02132"
"park-011","municipality","Boston"
"park-011","payment-form-accepted","invoice"
"park-011","payment-form-accepted","mobile-app"
"park-011","payment-app","PayByPhone"
"park-011","payment-app-url","https://www.paybyphone.com/"
"park-011","payment-app-id","4360"
"park-011","fee-daily","$4 PayByPhone, $4.50 invoice"
"park-011","fee-monthly","$70"
"park-011","weekday-typical-utilization",25
"park-011","weekday-utilization-summary","Utilization never crosses 90% of capacity"
"park-012","enclosed",2
"park-012","attended",2
"park-012","capacity",10
"park-012","operator","Town of Belmont"
"park-012","owner","City/Town"
"park-012","contact","Belmont Police Department, Traffic and Records Division"
"park-012","contact-url","http://www.belmont-ma.gov/parking-clerk/pages/commuter-parking"
"park-012","contact-phone","617-993-2530"
"park-012","address","Royale Rd and Common St, Belmont, MA 02478"
"park-012","municipality","Belmont"
"park-012","fee-monthly","$90"
"park-013","enclosed",2
"park-013","attended",2
"park-013","capacity",131
"park-013","capacity-accessible",6
"park-013","operator","Town of Belmont"
"park-013","owner","City/Town"
"park-013","contact","Belmont Police Department, Traffic and Records Division"
"park-013","contact-url","http://www.belmont-ma.gov/parking-clerk/pages/commuter-parking"
"park-013","contact-phone","617-993-2530"
"park-013","address","14 Claflin St, Belmont, MA 02478"
"park-013","municipality","Belmont"
"park-013","payment-form-accepted","cash"
"park-013","payment-form-accepted","credit-debit-card"
"park-013","fee-daily","$5"
"park-013","fee-monthly","$90"
"park-014","enclosed",1
"park-014","attended",1
"park-014","capacity",498
"park-014","capacity-accessible",11
"park-014","operator","Republic Parking System"
"park-014","owner","MBTA"
"park-014","contact","MBTA Customer Support"
"park-014","contact-url","http://www.parkmbta.com/"
"park-014","contact-phone","617-222-3200"
"park-014","address","10 Park St, Beverly, MA 01915"
"park-014","municipality","Beverly"
"park-014","payment-form-accepted","cash"
"park-014","payment-form-accepted","credit-debit-card"
"park-014","payment-form-accepted","smartcard"
"park-014","fee-daily","$5 for first 14 hours, $12 for 14-24 hours"
"park-014","weekday-typical-utilization",279
"park-014","weekday-utilization-summary","Utilization never crosses 90% of capacity"
"park-015","enclosed",2
"park-015","attended",2
"park-015","capacity",25
"park-015","capacity-accessible",1
"park-015","operator","City of Beverly"
"park-015","owner","City/Town"
"park-015","contact","Beverly City Hall"
"park-015","contact-url","http://www.beverlyma.gov"
"park-015","contact-phone","978-921-6000"
"park-015","address","1 Oak St, Beverly, MA 01915"
"park-015","municipality","Beverly"
"park-015","fee-daily","free"
"park-015","note","City of Beverly is responsible for parking maintenance, payments, and snow removal."
"park-016","enclosed",2
"park-016","attended",2
"park-016","capacity",303
"park-016","capacity-accessible",9
"park-016","operator","Republic Parking System"
"park-016","owner","MBTA"
"park-016","contact","MBTA Customer Support"
"park-016","contact-url","http://www.parkmbta.com/"
"park-016","contact-phone","617-222-3200"
"park-016","address","10 Railroad Ave, Bradford, MA 01835"
"park-016","municipality","Bradford"
"park-016","payment-form-accepted","invoice"
"park-016","payment-form-accepted","mobile-app"
"park-016","payment-app","PayByPhone"
"park-016","payment-app-url","https://www.paybyphone.com/"
"park-016","payment-app-id","4232"
"park-016","fee-daily","$4 PayByPhone, $4.50 invoice"
"park-016","fee-monthly","$70"
"park-016","weekday-typical-utilization",61
"park-016","weekday-utilization-summary","Utilization never crosses 90% of capacity"
"park-017","enclosed",1
"park-017","attended",1
"park-017","capacity",1321
"park-017","capacity-accessible",22
"park-017","operator","Republic Parking System"
"park-017","owner","MBTA"
"park-017","contact","MBTA Customer Support"
"park-017","contact-url","http://www.parkmbta.com/"
"park-017","contact-phone","617-222-3200"
"park-017","address","197 Ivory St, Braintree, MA 02184"
"park-017","municipality","Braintree"
"park-017","payment-form-accepted","cash"
"park-017","payment-form-accepted","credit-debit-card"
"park-017","payment-form-accepted","invoice"
"park-017","payment-form-accepted","smartcard"
"park-017","payment-form-accepted","mobile-app"
"park-017","payment-app","PayByPhone"
"park-017","payment-app-url","https://www.paybyphone.com/"
"park-017","payment-app-id","4403"
"park-017","fee-daily","$7 for first 14 hours, $15 for 14-24 hours"
"park-017","fee-monthly","$200 Premium"
"park-017","weekday-utilization-summary","No data"
"ev-017","capacity",5
"park-018","enclosed",2
"park-018","attended",2
"park-018","capacity",24
"park-018","capacity-accessible",1
"park-018","operator","Republic Parking System"
"park-018","owner","MBTA"
"park-018","contact","MBTA Customer Support"
"park-018","contact-url","http://www.parkmbta.com/"
"park-018","contact-phone","617-222-3200"
"park-018","address","1 Sawyer Rd, Waltham, MA 02453"
"park-018","municipality","Waltham"
"park-018","payment-form-accepted","invoice"
"park-018","payment-form-accepted","mobile-app"
"park-018","payment-app","PayByPhone"
"park-018","payment-app-url","https://www.paybyphone.com/"
"park-018","payment-app-id","4250"
"park-018","fee-daily","$4 PayByPhone, $4.50 invoice"
"park-018","fee-monthly","$70"
"park-018","weekday-typical-utilization",14
"park-018","weekday-utilization-summary","Utilization never crosses 90% of capacity"
"park-019","enclosed",2
"park-019","attended",2
"park-019","capacity",502
"park-019","capacity-accessible",10
"park-019","operator","Republic Parking System"
"park-019","owner","MBTA"
"park-019","contact","MBTA Customer Support"
"park-019","contact-url","http://www.parkmbta.com/"
"park-019","contact-phone","617-222-3200"
"park-019","address","85 Burrill Ave, Bridgewater, MA 02324"
"park-019","municipality","Bridgewater"
"park-019","payment-form-accepted","invoice"
"park-019","payment-form-accepted","mobile-app"
"park-019","payment-app","PayByPhone"
"park-019","payment-app-url","https://www.paybyphone.com/"
"park-019","payment-app-id","4404"
"park-019","fee-daily","$4 PayByPhone, $4.50 invoice"
"park-019","fee-monthly","$70"
"park-019","weekday-typical-utilization",314
"park-019","weekday-utilization-summary","Utilization never crosses 90% of capacity"
"park-020","enclosed",2
"park-020","attended",2
"park-020","capacity",266
"park-020","capacity-accessible",10
"park-020","operator","Brockton Area Transit Authority"
"park-020","owner","Local transit authority"
"park-020","contact","BAT"
"park-020","contact-url","http://www.ridebat.com/about/parking/"
"park-020","contact-phone","508-588-1000"
"park-020","address","7 Commercial St, Brockton, MA 02302"
"park-020","municipality","Brockton"
"park-020","payment-form-accepted","cash"
"park-020","payment-form-accepted","credit-debit-card"
"park-020","payment-form-accepted","smartcard"
"park-020","payment-form-accepted","mobile-app"
"park-020","payment-app","mPay2Park"
"park-020","payment-app-url","http://mpay2park.com/"
"park-020","fee-daily","$3 cash/credit, $2.35 mPay2Park, $2 Smart Card"
"park-020","note","Brockton Area Transit Authority (BAT) is responsible for parking maintenance, payments, and snow removal."
"park-021","enclosed",2
"park-021","attended",2
"park-021","capacity",44
"park-021","operator","Republic Parking System"
"park-021","owner","MBTA"
"park-021","contact","MBTA Customer Support"
"park-021","contact-url","http://www.parkmbta.com/"
"park-021","contact-phone","617-222-3200"
"park-021","address","Butler St and Branchfield St, Dorchester, MA 02124"
"park-021","municipality","Boston"
"park-021","payment-form-accepted","invoice"
"park-021","payment-form-accepted","mobile-app"
"park-021","payment-app","PayByPhone"
"park-021","payment-app-url","https://www.paybyphone.com/"
"park-021","payment-app-id","4405"
"park-021","fee-daily","$4 PayByPhone, $4.50 invoice"
"park-021","fee-monthly","$70"
"park-021","weekday-typical-utilization",33
"park-021","weekday-utilization-summary","Utilization never crosses 90% of capacity"
"park-022","enclosed",2
"park-022","attended",2
"park-022","capacity",535
"park-022","capacity-accessible",11
"park-022","operator","Republic Parking System"
"park-022","owner","MBTA"
"park-022","contact","MBTA Customer Support"
"park-022","contact-url","http://www.parkmbta.com/"
"park-022","contact-phone","617-222-3200"
"park-022","address","30 Riverside Ave, Brockton, MA 02301"
"park-022","municipality","Brockton"
"park-022","payment-form-accepted","invoice"
"park-022","payment-form-accepted","mobile-app"
"park-022","payment-app","PayByPhone"
"park-022","payment-app-url","https://www.paybyphone.com/"
"park-022","payment-app-id","4421"
"park-022","fee-daily","$4 PayByPhone, $4.50 invoice"
"park-022","fee-monthly","$70"
"park-022","weekday-typical-utilization",188
"park-022","weekday-utilization-summary","Utilization never crosses 90% of capacity"
"park-023","enclosed",2
"park-023","attended",2
"park-023","capacity",215
"park-023","capacity-accessible",4
"park-023","operator","Republic Parking System"
"park-023","owner","MBTA"
"park-023","contact","MBTA Customer Support"
"park-023","contact-url","http://www.parkmbta.com/"
"park-023","contact-phone","617-222-3200"
"park-023","address","710 Washington St, Canton, MA 02021"
"park-023","municipality","Canton"
"park-023","payment-form-accepted","invoice"
"park-023","payment-form-accepted","mobile-app"
"park-023","payment-app","PayByPhone"
"park-023","payment-app-url","https://www.paybyphone.com/"
"park-023","payment-app-id","4361"
"park-023","fee-daily","$4 PayByPhone, $4.50 invoice"
"park-023","fee-monthly","$70"
"park-023","weekday-typical-utilization",181
"park-023","weekday-utilization-summary","Utilization never crosses 90% of capacity"
"park-024","enclosed",2
"park-024","attended",2
"park-024","capacity",764
"park-024","capacity-accessible",14
"park-024","operator","Republic Parking System"
"park-024","owner","MBTA"
"park-024","contact","MBTA Customer Support"
"park-024","contact-url","http://www.parkmbta.com/"
"park-024","contact-phone","617-222-3200"
"park-024","address","Beaumont St and Sherman St, Canton, MA 02021"
"park-024","municipality","Canton"
"park-024","payment-form-accepted","invoice"
"park-024","payment-form-accepted","mobile-app"
"park-024","payment-app","PayByPhone"
"park-024","payment-app-url","https://www.paybyphone.com/"
"park-024","payment-app-id","4362"
"park-024","fee-daily","$4 PayByPhone, $4.50 invoice"
"park-024","fee-monthly","$70"
"park-024","weekday-typical-utilization",635
"park-024","weekday-utilization-summary","Utilization never crosses 90% of capacity"
"park-025","enclosed",2
"park-025","attended",2
"park-025","capacity",70
"park-025","operator","Republic Parking System"
"park-025","owner","MBTA"
"park-025","contact","MBTA Customer Support"
"park-025","contact-url","http://www.parkmbta.com/"
"park-025","contact-phone","617-222-3200"
"park-025","address","Hammond St and Boylston St, Newton, MA 02467"
"park-025","municipality","Newton"
"park-025","payment-form-accepted","invoice"
"park-025","payment-form-accepted","mobile-app"
"park-025","payment-app","PayByPhone"
"park-025","payment-app-url","https://www.paybyphone.com/"
"park-025","payment-app-id","4251"
"park-025","fee-daily","$6 PayByPhone, $6.50 invoice"
"park-025","weekday-typical-utilization",68
"park-025","weekday-utilization-summary","Arrive before a certain time"
"park-025","weekday-arrive-before","06:30:00"
"park-026","enclosed",2
"park-026","attended",2
"park-026","capacity",410
"park-026","capacity-accessible",10
"park-026","operator","Republic Parking System"
"park-026","owner","MBTA"
"park-026","contact","MBTA Customer Support"
"park-026","contact-url","http://www.parkmbta.com/"
"park-026","contact-phone","617-222-3200"
"park-026","address","110 Chief Justice Cushing Highway, Cohasset, MA 02025"
"park-026","municipality","Cohasset"
"park-026","payment-form-accepted","invoice"
"park-026","payment-form-accepted","mobile-app"
"park-026","payment-app","PayByPhone"
"park-026","payment-app-url","https://www.paybyphone.com/"
"park-026","payment-app-id","4429"
"park-026","fee-daily","$4 PayByPhone, $4.50 invoice"
"park-026","fee-monthly","$70"
"park-026","weekday-typical-utilization",216
"park-026","weekday-utilization-summary","Utilization never crosses 90% of capacity"
"park-027","enclosed",2
"park-027","attended",2
"park-027","capacity",86
"park-027","capacity-accessible",2
"park-027","operator","Town of Concord"
"park-027","owner","City/Town"
"park-027","contact","Town of Concord, Treasurer/Collector's Office"
"park-027","contact-url","http://www.concordma.gov/1904/Park"
"park-027","contact-phone","978-318-3050"
"park-027","address","90 Thoreau St, Concord, MA"
"park-027","municipality","Concord"
"park-027","fee-daily","free"
"park-027","note","Town of Concord is responsible for parking maintenance, payments, and snow removal."
"park-028","enclosed",2
"park-028","attended",2
"park-028","capacity",497
"park-028","capacity-accessible",11
"park-028","operator","Republic Parking System"
"park-028","owner","MBTA"
"park-028","contact","MBTA Customer Support"
"park-028","contact-url","http://www.parkmbta.com/"
"park-028","contact-phone","617-222-3200"
"park-028","address","125 Allied Dr, Dedham, MA 02026"
"park-028","municipality","Dedham"
"park-028","payment-form-accepted","invoice"
"park-028","payment-form-accepted","mobile-app"
"park-028","payment-app","PayByPhone"
"park-028","payment-app-url","https://www.paybyphone.com/"
"park-028","payment-app-id","4363"
"park-028","fee-daily","$4 PayByPhone, $4.50 invoice"
"park-028","fee-monthly","$70"
"park-028","weekday-typical-utilization",257
"park-028","weekday-utilization-summary","Utilization never crosses 90% of capacity"
"park-029","enclosed",2
"park-029","attended",2
"park-029","capacity",335
"park-029","capacity-accessible",8
"park-029","operator","Republic Parking System"
"park-029","owner","MBTA"
"park-029","contact","MBTA Customer Support"
"park-029","contact-url","http://www.parkmbta.com/"
"park-029","contact-phone","617-222-3200"
"park-029","address","1590 Commercial St, East Weymouth, MA, 02189"
"park-029","municipality","East Weymouth"
"park-029","payment-form-accepted","invoice"
"park-029","payment-form-accepted","mobile-app"
"park-029","payment-app","PayByPhone"
"park-029","payment-app-url","https://www.paybyphone.com/"
"park-029","payment-app-id","4434"
"park-029","fee-daily","$4 PayByPhone, $4.50 invoice"
"park-029","fee-monthly","$70"
"park-029","weekday-typical-utilization",328
"park-029","weekday-utilization-summary","Arrive before a certain time"
"park-029","weekday-arrive-before","07:30:00"
"park-030","enclosed",2
"park-030","attended",2
"park-030","capacity",55
"park-030","operator","Republic Parking System"
"park-030","owner","MBTA"
"park-030","contact","MBTA Customer Support"
"park-030","contact-url","http://www.parkmbta.com/"
"park-030","contact-phone","617-222-3200"
"park-030","address","248 Lincoln St, Newton, MA 02461"
"park-030","municipality","Newton"
"park-030","payment-form-accepted","invoice"
"park-030","payment-form-accepted","mobile-app"
"park-030","payment-app","PayByPhone"
"park-030","payment-app-url","https://www.paybyphone.com/"
"park-030","payment-app-id","4253"
"park-030","fee-daily","$6 PayByPhone, $6.50 invoice"
"park-030","weekday-typical-utilization",51
"park-030","weekday-utilization-summary","Arrive before a certain time"
"park-030","weekday-arrive-before","07:30:00"
"park-031","enclosed",2
"park-031","attended",2
"park-031","capacity",45
"park-031","operator","Town of Dedham"
"park-031","owner","City/Town"
"park-031","contact","Dedham Town Hall"
"park-031","contact-url","http://www.dedham-ma.gov/Home/Components/BusinessDirectory/BusinessDirectory/116/759"
"park-031","contact-phone","781-751-9100"
"park-031","address","186 Grant Ave, Dedham, MA 02026"
"park-031","municipality","Dedham"
"park-031","fee-daily","free"
"park-031","note","Town of Dedham is responsible for parking maintenance, payments, and snow removal."
"park-032","enclosed",2
"park-032","attended",2
"park-032","capacity",51
"park-032","capacity-accessible",2
"park-032","operator","Republic Parking System"
"park-032","owner","MBTA"
"park-032","contact","MBTA Customer Support"
"park-032","contact-url","http://www.parkmbta.com/"
"park-032","contact-phone","617-222-3200"
"park-032","address","Fairmount Ave and Truman Hwy, Hyde Park, MA 02136"
"park-032","municipality","Boston"
"park-032","payment-form-accepted","invoice"
"park-032","payment-form-accepted","mobile-app"
"park-032","payment-app","PayByPhone"
"park-032","payment-app-url","https://www.paybyphone.com/"
"park-032","payment-app-id","4364"
"park-032","fee-daily","$4 PayByPhone, $4.50 invoice"
"park-032","fee-monthly","$70"
"park-032","weekday-typical-utilization",28
"park-032","weekday-utilization-summary","Utilization never crosses 90% of capacity"
"park-033","enclosed",1
"park-033","attended",1
"park-033","capacity",400
"park-033","capacity-accessible",6
"park-033","operator","Montachusett Regional Transit Authority"
"park-033","owner","Local transit authority"
"park-033","contact","MART"
"park-033","contact-url","http://www.mrta.us"
"park-033","contact-phone","978-345-7711"
"park-033","address","100 Main St, Fitchburg, MA 01420"
"park-033","municipality","Fitchburg"
"park-033","payment-form-accepted","cash"
"park-033","payment-form-accepted","credit-debit-card"
"park-033","fee-daily","$3"
"park-033","fee-monthly","$50"
"park-033","note","Montachusett RTA is responsible for parking maintenance, payments, and snow removal."
"ev-033","capacity",4
"park-034","enclosed",2
"park-034","attended",1
"park-034","capacity",156
"park-034","capacity-accessible",5
"park-034","operator","Republic Parking System"
"park-034","owner","MBTA"
"park-034","contact","MBTA Customer Support"
"park-034","contact-url","http://www.parkmbta.com/"
"park-034","contact-phone","617-222-3200"
"park-034","address","Washington St and Hyde Park Ave, Jamaica Plain, MA 02130"
"park-034","municipality","Boston"
"park-034","payment-form-accepted","cash"
"park-034","payment-form-accepted","credit-debit-card"
"park-034","payment-form-accepted","invoice"
"park-034","payment-form-accepted","mobile-app"
"park-034","payment-app","PayByPhone"
"park-034","payment-app-url","https://www.paybyphone.com/"
"park-034","payment-app-id","4396"
"park-034","fee-daily","$6 PayByPhone, $6.50 invoice"
"park-034","fee-monthly","$125"
"park-034","weekday-typical-utilization",156
"park-034","weekday-utilization-summary","Insufficient data to determine the time that utilization crosses 90% of capacity"
"ev-034","capacity",3
"park-035","enclosed",2
"park-035","attended",2
"park-035","capacity",716
"park-035","capacity-accessible",15
"park-035","operator","Republic Parking System"
"park-035","owner","MBTA"
"park-035","contact","MBTA Customer Support"
"park-035","contact-url","http://www.parkmbta.com/"
"park-035","contact-phone","617-222-3200"
"park-035","address","1000 W Central St, Franklin, MA 02038"
"park-035","municipality","Franklin"
"park-035","payment-form-accepted","invoice"
"park-035","payment-form-accepted","mobile-app"
"park-035","payment-app","PayByPhone"
"park-035","payment-app-url","https://www.paybyphone.com/"
"park-035","payment-app-id","4385"
"park-035","fee-daily","$4 PayByPhone, $4.50 invoice"
"park-035","fee-monthly","$70"
"park-035","weekday-typical-utilization",494
"park-035","weekday-utilization-summary","Utilization never crosses 90% of capacity"
"park-036","enclosed",2
"park-036","attended",2
"park-036","capacity",166
"park-036","capacity-accessible",8
"park-036","operator","Republic Parking System"
"park-036","owner","MBTA"
"park-036","contact","MBTA Customer Support"
"park-036","contact-url","http://www.parkmbta.com/"
"park-036","contact-phone","617-222-3200"
"park-036","address","417 Waverly St, Framingham, MA 01702"
"park-036","municipality","Framingham"
"park-036","payment-form-accepted","invoice"
"park-036","payment-form-accepted","mobile-app"
"park-036","payment-app","PayByPhone"
"park-036","payment-app-url","https://www.paybyphone.com/"
"park-036","payment-app-id","4254"
"park-036","fee-daily","$4 PayByPhone, $4.50 invoice"
"park-036","fee-monthly","$70"
"park-036","weekday-typical-utilization",166
"park-036","weekday-utilization-summary","Arrive before a certain time"
"park-036","weekday-arrive-before","07:00:00"
"park-036","note","MetroWest Regional Transit Authority is responsible for parking maintenance, payments, and snow removal."
"park-037","enclosed",2
"park-037","attended",2
"park-037","capacity",173
"park-037","capacity-accessible",3
"park-037","operator","Republic Parking System"
"park-037","owner","MBTA"
"park-037","contact","MBTA Customer Support"
"park-037","contact-url","http://www.parkmbta.com/"
"park-037","contact-phone","617-222-3200"
"park-037","address","75 Depot St, Franklin, MA 02038"
"park-037","municipality","Franklin"
"park-037","payment-form-accepted","invoice"
"park-037","payment-form-accepted","mobile-app"
"park-037","payment-app","PayByPhone"
"park-037","payment-app-url","https://www.paybyphone.com/"
"park-037","payment-app-id","4367"
"park-037","fee-daily","$4 PayByPhone, $4.50 invoice"
"park-037","fee-monthly","$70"
"park-037","weekday-typical-utilization",167
"park-037","weekday-utilization-summary","Arrive before a certain time"
"park-037","weekday-arrive-before","07:00:00"
"park-038","enclosed",2
"park-038","attended",2
"park-038","capacity",100
"park-038","capacity-accessible",2
"park-038","operator","Republic Parking System"
"park-038","owner","MBTA"
"park-038","contact","MBTA Customer Support"
"park-038","contact-url","http://www.parkmbta.com/"
"park-038","contact-phone","617-222-3200"
"park-038","address","75 Railroad Ave, Gloucester, MA 01930"
"park-038","municipality","Gloucester"
"park-038","payment-form-accepted","invoice"
"park-038","payment-form-accepted","mobile-app"
"park-038","payment-app","PayByPhone"
"park-038","payment-app-url","https://www.paybyphone.com/"
"park-038","payment-app-id","4233"
"park-038","fee-daily","$4 PayByPhone, $4.50 invoice"
"park-038","fee-monthly","$70"
"park-038","weekday-typical-utilization",20
"park-038","weekday-utilization-summary","Utilization never crosses 90% of capacity"
"park-039","enclosed",2
"park-039","attended",2
"park-039","capacity",373
"park-039","capacity-accessible",5
"park-039","operator","Republic Parking System"
"park-039","owner","MBTA"
"park-039","contact","MBTA Customer Support"
"park-039","contact-url","http://www.parkmbta.com/"
"park-039","contact-phone","617-222-3200"
"park-039","address","1 Pine St, North Grafton, MA 01536"
"park-039","municipality","Grafton"
"park-039","payment-form-accepted","invoice"
"park-039","payment-form-accepted","mobile-app"
"park-039","payment-app","PayByPhone"
"park-039","payment-app-url","https://www.paybyphone.com/"
"park-039","payment-app-id","4255"
"park-039","fee-daily","$4 PayByPhone, $4.50 invoice"
